Tweet;Classificação
Pressionem Queremos a reforma da previdência de Paulo Guedes sem desidrataçao Queremos Previdência de 1 Trilhao ;Positivo
#EPTV1 Parabéns pela imparcialidade. Mostrando o protesto contra a Reforma da Previdência, porém não mostrou nada sobre as manifestações de domingo passado contra o STF e a favor da Lava Jato. EPTV puxadinho da Globo. Mídia lixo. #GloboEsgotoDaTV;Positivo
@dep_paulinho TU É UM CANALHA. INDO CONTRA A REFORMA DA PREVIDENCIA SÓ PARA NÃO RELEGER BOLSONARO? O POVO QUE SE FODA.;Positivo
Em mais um golpe do Centrão, aquela grande frente contra o Brasil, um projeto de reforma da previdência alternativo é apresentado. Rodrigo Maia subscreve a sacanagem.;Positivo
Eles acham que o objetivo é só lula livre e cagam pro objetivo da educação, tanto que tive que ir escondida dos meus pais pra eles n encherem meu saco, pq eu tava la pela educação e não pelo lula. Igual ngc da reforma da previdência, que enfiaram la tbm sendo que era pra ser só+;Positivo
Eu também apoio a reforma da previdência pelo futuro de nossos filhos. #EuApoioNovaPrevidencia;Positivo
Vote a MP 870, acelere a reforma da previdência do Paulo Guedes, e vote o pacote anticrime do Moro. Não seja um irresponsável querendo protagonismo, enquanto o Brasil está parado, por sua incompetência e má intenção (Allan Frutuozo) #DeusBrasilBolsonaro @CarlosBolsonaro;Positivo
Gostei bastante. Por um lado, ponderada, sensata, sincera e respeitosa. Por outro, extremamente preocupante do ponto de vista da (falta de) articulação do Planalto com o Congresso. Evidenciou que o governo está MT longe dos votos necessários pra aprovar a reforma da Previdência.;Positivo
#NovaPrevidencia #reformadaprevidencia NOVA PREVIDÊNCIA APROVADAAAAAAAA A VITÓRIA É DO BRASIL VIVA O NOSSO PRESIDENTE @jairbolsonaro;Positivo
@SenadoFederal o atraso do Brasil. #BolsonaroEstamosContigo Senado segura Reforma da Previdência e trava economia do país ;Positivo
A escandalosa compra de votos para aprovar a Reforma da Previdência ;Neutro
Saiba como a reforma da Previdência de Bolsonaro aumentará a pobreza https://www.redebrasilatual.com.br/blogs/blog-na-rede/saiba-como-a-reforma-da-previdencia-de-bolsonaro-aumentara-a-pobreza via @redebrasilatual;Neutro
A comissão que irá discutir a Reforma da Previdência na Câmara dos Deputados foi instalada no último dia 25. A Federação Nacional dos Policiais Federais (Fenapef) e a União dos Policiais do Brasil (UPB) agora... https://www.facebook.com/comendadorcimino/posts/2708705539145178;Neutro
Reforma da Previdência: mudanças aprovadas pelo Senado podem atrasar aprovação da PEC ;Neutro
É o que se desenha, sem uma atuação minimamente coordenada do executivo. Porém, a reforma mais importante é mesmo a tributária, enquanto a reforma da Previdência é a mais urgente.;Neutro
A entrevista da economista @lauraabcarvalho no #UMBRASIL foi marcada por temas como a crise – e a lenta recuperação – econômica, a desigualdade no País e a Reforma da Previdência. Essa charge do @Benett_ ilustra a conversa. Confira: https://bit.ly/2oyg2qM;Neutro
É o fim da picada! Quero ver se não sair a reforma da previdência ainda neste 1°semestre e o Presidente Bolsonaro decretar o artigo 142 seguido do AI-5 como fica a cara do Nhonho.;Neutro
Senado inicia votação da reforma da Previdência em segundo turno http://bit.ly/2oe87zi via @diarioaco;Neutro
O presidente do Democratas (DEM), ACM Neto, disse hoje (4) que o país precisa “o quanto antes” aprovar a reforma da Previdência e que o partido pode integrar a base do governo no... http://www.refugo.hol.es/acm-neto-defende-urgencia-na-aprovacao-da-reforma-da-previdencia.html;Neutro
"- A PEC do teto iria gerar investimentos e empregos; - A reforma trabalhista iria gerar milhões de empregos; - A reforma da previdência vai gerar bilhões em investimentos e gerar empregos. Ciência ou fé?";Neutro
"Então toma... militar contra a reforma da previdência. Um pouquinho de sensatez. https://www.facebook.com/story.php?story_fbid=2332741140123714&amp;id=100001635510764";Negativo
"Reforma desumana. Parabéns ao combativo Deputado Molon por toda sua luta e engajamento, e por denunciar que a Deforma da Previdência acaba de ser aprovada na comissão especial. Covardia e derrota para o povo brasileiro! https://www.facebook.com/MolonRJ/videos/321791848766621/?notif_id=1562303824582398&amp;notif_t=live_video";Negativo
Dimenstein, tb não gosto do seu trabalho de martelo em cima do governo. Mas essa sua postura de defender a reforma da previdência me da 0.01% de esperança em que o Sr. É um dos poucos jornalistas que não está pensando SÓ no seu umbigo!;Negativo
Viviam babando estes caras, tudo pelo antipetismo, agora estão agoniados! Mas o Noblat, com os da Rede Globo, todos estão comprometidos com a Reforma da Previdência que acaba com a aposentadoria dos trabalhadores!;Negativo
"Reunião com líderes na terça-feira, na residência oficial da Câmara, apresentou o cardápio da distribuição de cargos. Essa é a ""nova política"" que Bolsonaro usa para conseguir aprovar a Reforma da Previdência, já que é incapaz de dialogar. ";Negativo
Se você @ggreenwald @TheInterceptBr perguntar ao @JornalDaGlobo o que diz Art.24, Art.142.Lcp.n°101/2000 em Art.195.CB/1988 é permitido a PEC.N°06/2019 da #ReformadaPrevidencia, não respondem 11-2129-5000, mas é ilegal e inconstitucional. Só mentira, escamotiam informes em favor! ;Negativo
"Eu avisei!!!! Às lágrimas, familiares de militares gritam ""Bolsonaro traidor"" por reforma da Previdência ";Negativo
GREVE CONTRA REFORMA DA PREVIDÊNCIA ;Negativo
Eu não acredito que vão começar a votar essa reforma da previdência lixo;Negativo
não a mais esse imposto pilantraços..Não fazem nada pelo povo eo trabalhador humilde e velhinhos humildes deste país. Não a reforma da previdência social mau feita por ladrões piratas safados corruptos pilantras de Brasília;Negativo
